CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,churn_probability,estimated_ltv,expected_revenue_retained,net_expected_value,naive_target,ds_optimized_target
698,44,10,116363.37,2,1,0,198059.16,0,True,False,True,0.5115472511043307,10472.7033,1339.3206461865632,1289.3206461865632,True,True
585,36,5,146050.97,2,0,0,86424.57,0,True,False,True,0.2335426249660366,13144.5873,767.4553555343068,717.4553555343068,False,True
655,41,8,125561.97,1,0,0,164040.94,1,True,False,True,0.7284179263368761,11300.5773,2057.8857708188934,2007.8857708188934,True,True
601,42,1,98495.72,1,1,0,40014.76,1,True,False,True,0.6723657772398802,8864.6148,1490.0659049835363,1440.0659049835363,True,True
619,43,1,125211.92,1,1,1,113410.49,0,False,False,True,0.4789092915707185,11269.0728,1349.2159178267132,1299.2159178267132,False,True
656,45,5,127864.4,1,1,0,87107.57,0,False,False,True,0.6903253297907296,11507.795999999998,1986.0307672161093,1936.0307672161093,True,True
725,19,0,75888.2,1,0,0,45613.75,0,True,False,True,0.2329195767556237,6829.937999999999,397.7065670567877,347.7065670567877,False,True
614,51,4,40685.92,1,1,1,46775.28,0,False,False,True,0.5601430518345686,3661.7328,512.773546398685,462.77354639868497,True,True
742,35,5,136857.0,1,0,0,84509.57,0,True,False,True,0.5228996192091718,12317.13,1610.1556466874665,1560.1556466874665,True,True
687,27,9,152328.88,2,0,0,126494.82,0,True,False,False,0.2300782835475977,13709.5992,788.5702630153797,738.5702630153797,False,True
555,33,1,56084.69,2,0,0,178798.13,0,False,True,True,0.1673749120816465,5047.6221000000005,211.211326302219,161.211326302219,False,True
684,56,8,78707.16,1,1,1,99398.36,0,False,True,True,0.4199228731676019,7083.644400000001,743.6460772363985,693.6460772363985,False,True
603,26,4,109166.37,1,1,1,92840.67,0,True,False,True,0.3262152055900402,9824.9733,801.2639212440389,751.2639212440389,False,True
751,36,6,169831.46,2,1,1,27758.36,0,True,False,False,0.1700891968253136,15284.8314,649.9461741090834,599.9461741090834,False,True
581,34,1,101633.04,1,1,0,110431.51,0,True,False,False,0.5676277857018529,9146.973599999998,1298.0190926103262,1248.0190926103262,True,True
735,43,10,123180.01,2,1,1,196673.28,0,True,False,True,0.3816744161719027,11086.2009,1057.8298140179804,1007.8298140179804,False,True
661,35,5,150725.53,2,0,1,113656.85,0,True,False,False,0.1976399774756064,13565.2977,670.2612829694738,620.2612829694738,False,True
675,21,8,98373.26,1,1,0,18203.0,0,False,False,False,0.3108655100360104,8853.5934,688.0692069856137,638.0692069856137,False,True
738,58,2,133745.44,4,1,0,28373.86,1,True,False,True,0.9463592261487104,12037.0896,2847.852699734672,2797.852699734672,True,True
657,37,0,163607.18,1,0,1,44203.55,0,False,True,False,0.2498845873349318,14724.6462,919.8655348349679,869.8655348349679,False,True
604,25,5,157780.84,2,1,1,58426.81,0,True,False,False,0.1544716407593385,14200.2756,548.3849677917,498.3849677917,False,True
735,21,1,178718.19,2,1,0,22388.0,0,False,False,False,0.2135163113815263,16084.6371,858.5830958756126,808.5830958756126,False,True
757,33,5,77253.22,1,0,1,194239.63,0,False,True,True,0.2401352661817609,6952.7898,417.402507332208,367.402507332208,False,True
416,41,10,122189.66,2,1,0,98301.61,0,True,False,False,0.4989562294513722,10997.0694,1371.764070709766,1321.764070709766,False,True
665,34,1,96645.54,2,0,0,171413.66,0,False,False,False,0.2377703733754444,8698.098599999998,517.0375379446074,467.0375379446074,False,True
506,34,4,90307.62,1,1,1,159235.29,0,False,False,False,0.2825029433137345,8127.685799999999,574.0237902073111,524.0237902073111,False,True
750,22,3,121681.82,1,1,0,128643.35,1,False,True,True,0.3236376927631255,10951.3638,886.0685282104035,836.0685282104035,False,True
635,28,3,81623.67,2,1,1,156791.36,0,True,False,False,0.1144014418744365,7346.130299999999,210.10197462937165,160.10197462937165,False,True
808,45,7,118626.55,2,1,0,147132.46,0,False,False,True,0.4671391584926262,10676.3895,1246.8399016923775,1196.8399016923775,False,True
515,35,10,176273.95,1,0,1,121277.78,0,False,True,True,0.2038979145793909,15864.6555,808.692542992616,758.692542992616,False,True
773,41,9,102827.44,1,0,1,64595.25,0,False,True,True,0.2389041063713431,9254.4696,552.7326974321903,502.7326974321903,False,True
814,29,8,97086.4,2,1,1,197276.13,0,True,False,True,0.1549359007869831,8737.775999999998,338.44879885872047,288.44879885872047,False,True
738,31,9,82674.15,1,1,0,41970.72,0,False,False,True,0.2656381342202547,7440.673499999999,494.13165647052296,444.13165647052296,False,True
622,46,4,107073.27,2,1,1,30984.59,1,False,True,False,0.4918755778497721,9636.5943,1185.0013474540801,1135.0013474540801,False,True
582,32,1,88938.62,1,1,1,10054.53,0,True,False,True,0.2257937763259508,8004.475799999999,451.84020459792146,401.84020459792146,False,True
785,36,2,99806.85,1,0,1,36976.52,0,True,False,False,0.4898141309070803,8982.6165,1099.953123554775,1049.953123554775,False,True
605,33,5,150092.8,1,0,0,71862.79,0,False,True,True,0.3012935873229551,13508.352,1017.4949582253038,967.4949582253038,False,True
479,35,9,92833.89,1,1,0,99449.86,1,True,False,True,0.5464315830090272,8355.050099999999,1141.3658130656825,1091.3658130656825,True,True
685,30,3,90536.81,1,0,1,63082.88,0,True,False,True,0.2246490037334526,8148.3129,457.62759377336,407.62759377336,False,True
538,39,7,108055.1,2,1,0,27231.26,0,True,False,True,0.4046778185065037,9724.959,983.8687982962975,933.8687982962975,False,True
562,42,2,100238.35,1,0,0,86797.41,0,False,False,True,0.5823690555111167,9021.4515,1313.4535473485867,1263.4535473485867,True,True
675,36,9,106190.55,1,0,1,22994.32,0,False,True,True,0.1891532706546613,9557.1495,451.9415215151402,401.9415215151402,False,True
721,28,9,154475.54,2,0,1,101300.94,1,True,False,True,0.2455233405569421,13902.7986,853.3653888405945,803.3653888405945,False,True
628,30,9,132351.29,2,1,1,74169.13,0,True,False,False,0.1995343014099993,11911.6161,594.1939992944001,544.1939992944001,False,True
668,37,6,167864.4,1,1,0,115638.29,0,True,False,False,0.4755674026154777,15107.795999999998,1796.1938257411257,1746.1938257411257,False,True
524,31,8,107818.63,1,1,0,199725.39,1,True,False,False,0.6067316788506318,9703.6767,1471.8820138036897,1421.8820138036897,True,True
699,34,4,185173.81,2,1,0,120834.48,0,True,False,True,0.2252415252676055,16665.6429,938.4487065903099,888.4487065903099,False,True
828,34,8,129433.34,2,0,0,38131.77,0,False,False,True,0.1587923751874794,11649.0006,462.4431184585932,412.4431184585932,False,True
674,39,6,120193.42,1,0,0,100130.95,0,False,True,True,0.3434969362252525,10817.4078,928.9366092997874,878.9366092997874,False,True
684,48,10,126384.42,1,1,1,198129.36,0,True,False,False,0.6388893953215365,11374.5978,1816.77747761692,1766.77747761692,True,True
432,42,9,152603.45,1,1,0,110265.24,1,False,False,True,0.6920382633336787,13734.3105,2376.167096626377,2326.167096626377,True,True
625,56,0,148507.24,1,1,0,46824.08,1,True,False,True,0.9052883431387794,13365.651599999996,3024.942147983543,2974.942147983543,True,True
770,24,9,101827.07,1,1,0,167256.35,0,False,False,True,0.2840283471605748,9164.4363,650.7399237368434,600.7399237368434,False,True
795,33,9,130862.43,1,1,1,114935.21,0,True,False,False,0.545089345277231,11777.6187,1604.963616526968,1554.963616526968,True,True
687,38,9,122570.87,1,1,1,35608.88,0,False,False,True,0.2202734696851341,11031.3783,607.479993387574,557.479993387574,False,True
789,39,7,124828.46,2,1,1,124411.08,0,True,False,True,0.2958904170885525,11234.5614,831.0497646132382,781.0497646132382,False,True
589,50,5,144895.05,2,1,1,34941.23,0,True,False,False,0.5726529952021484,13040.554499999998,1866.9281483804634,1816.9281483804634,True,True
461,34,5,63663.93,1,0,1,167784.28,0,True,False,False,0.2554713127566346,5729.753699999999,365.946924877796,315.946924877796,False,True
637,40,2,133463.1,1,0,1,93165.34,0,False,False,True,0.3377005565055765,12011.679,1014.0876707165867,964.0876707165867,False,True
584,48,2,213146.2,1,1,0,75161.25,1,False,True,False,0.7352721754135311,19183.158000000003,3526.210578490371,3476.210578490371,True,True
579,35,1,129490.36,2,0,1,8590.83,1,False,True,False,0.3355806178614871,11654.1324,977.7252378578938,927.7252378578938,False,True
756,44,10,137452.09,1,1,0,189543.9,0,True,False,True,0.803120770646965,12370.6881,2483.7891400763096,2433.7891400763096,True,True
682,43,5,125851.93,1,1,1,193318.33,0,False,False,False,0.4403577258348121,11326.6737,1246.947067951244,1196.947067951244,False,True
691,31,5,40915.55,1,1,0,126213.84,1,False,False,False,0.4480689514697388,3682.3995,412.4922207144226,362.4922207144226,False,True
485,21,5,113157.22,1,1,1,54141.5,0,False,True,False,0.2486862569062383,10184.1498,633.1645233836038,583.1645233836038,False,True
635,29,8,138296.94,2,1,0,141075.51,0,False,True,False,0.2884587071615013,12446.7246,897.5915216278136,847.5915216278136,False,True
650,37,5,106967.18,1,0,0,24495.03,0,False,False,True,0.3440395251128926,9627.0462,828.0211007219693,778.0211007219693,False,True
735,44,9,120681.63,1,1,0,74836.34,0,False,False,True,0.6400475577991466,10861.3467,1737.944607436205,1687.944607436205,True,True
539,37,2,127609.59,1,1,0,98646.22,0,False,False,True,0.338358867172652,11484.8631,971.5013170372481,921.5013170372481,False,True
646,73,6,97259.25,1,0,1,104719.66,0,False,False,False,0.2969374076630626,8753.332499999999,649.7979652407085,599.7979652407085,False,True
631,33,4,123246.7,1,0,0,112687.57,0,True,False,False,0.6019811958875146,11092.203,1669.3244067417693,1619.3244067417693,True,True
717,22,6,101060.25,1,0,1,84699.56,0,False,True,False,0.2197769312778185,9095.4225,499.74101143130605,449.74101143130605,False,True
800,49,7,108007.36,1,0,0,47125.11,0,False,False,False,0.7521876163966987,9720.6624,1827.940470113253,1777.940470113253,True,True
683,29,0,133702.89,1,1,0,55582.54,1,False,True,True,0.3680345589501869,12033.2601,1107.1638934090954,1057.1638934090954,False,True
660,31,9,125189.75,2,1,1,139874.43,0,True,False,True,0.1805473259623867,11267.0775,508.56017850899326,458.56017850899326,False,True
704,24,7,113034.22,1,1,0,162503.48,1,True,False,False,0.5431721100284146,10173.0798,1381.4333051133603,1331.4333051133603,True,True
615,41,9,109013.23,1,1,0,196499.96,0,False,True,False,0.5001041716879957,9811.1907,1226.6543495741166,1176.6543495741166,True,True
682,24,9,57929.81,2,0,0,53134.3,0,True,False,True,0.1218814433011646,5213.6829,158.86279919165034,108.86279919165034,False,True
484,29,4,130114.39,1,1,0,164017.89,0,False,False,False,0.3314051711009322,11710.2951,970.2130878144769,920.2130878144769,False,True
628,27,5,95826.49,2,1,0,155996.96,0,True,False,True,0.2331085585458471,8624.3841,502.6044364741807,452.6044364741807,False,True
480,44,10,129608.57,1,1,0,5472.7,1,True,False,True,0.8803077100474175,11664.7713,2567.147027832459,2517.147027832459,True,True
578,30,4,169462.09,1,1,0,112187.11,0,False,False,True,0.3250673363692072,15251.5881,1239.4482797668245,1189.4482797668245,False,True
484,35,7,133868.21,1,1,1,27286.1,0,False,True,False,0.2690224739670799,12048.138899999998,810.3050333942531,760.3050333942531,False,True
606,36,5,190479.48,2,0,0,179351.89,0,True,False,True,0.2527679446872975,17143.1532,1083.309899955867,1033.309899955867,False,True
597,40,8,101993.12,1,0,1,94774.12,0,False,True,False,0.3630105661885033,9179.3808,833.0530553669691,783.0530553669691,False,True
754,55,3,161608.81,1,1,0,8080.85,1,True,False,False,0.8783653029575451,14544.7929,3193.910355515813,3143.910355515813,True,True
850,45,2,122311.21,1,1,1,19482.5,0,False,True,False,0.443555432277648,11008.0089,1220.6655365389242,1170.6655365389242,False,True
778,45,1,162150.42,2,1,0,174531.27,0,True,False,False,0.5504812482622019,14593.5378,2008.367226176407,1958.367226176407,True,True
730,39,1,99010.67,1,1,0,194945.8,0,False,False,False,0.4443260840217454,8910.960299999999,989.8430237430592,939.8430237430592,False,True
687,34,7,111388.18,2,1,0,148564.76,0,True,False,False,0.3626678010100326,10024.9362,908.930391729968,858.930391729968,False,True
715,41,8,56214.85,2,0,0,92982.61,1,False,False,False,0.4008323937279442,5059.336499999999,506.98648999253976,456.98648999253976,False,True
512,36,3,84327.77,2,1,0,17675.36,0,False,False,False,0.2672005996747129,7589.499299999999,506.97969104770334,456.97969104770334,False,True
601,32,8,93012.89,1,1,0,86957.42,0,False,False,True,0.2649793623593903,8371.160100000001,554.5461663765925,504.5461663765925,False,True
580,29,9,61710.44,2,1,0,128077.8,0,False,True,True,0.1558931002694278,5553.9396,216.4552157382864,166.4552157382864,False,True
807,35,3,174790.15,1,1,1,600.36,0,False,False,True,0.2158668938655014,15731.1135,848.956652072664,798.956652072664,False,True
721,37,3,107720.64,1,1,1,158591.12,0,True,False,True,0.480594381743698,9694.8576,1164.823523591298,1114.823523591298,False,True
521,35,6,96423.84,1,1,0,10488.44,0,False,False,True,0.3079046959247876,8678.1456,668.0104455397583,618.0104455397583,False,True
850,30,2,141040.01,1,1,1,5978.2,0,False,True,True,0.1613880498763368,12693.6009,512.1488737898784,462.1488737898784,False,True
759,42,4,105420.18,1,0,1,121409.06,0,False,False,True,0.3938320564525321,9487.816199999996,934.1515413224117,884.1515413224117,False,True
711,38,2,129022.06,2,1,1,14374.86,1,False,False,False,0.2731201293592343,11611.9854,792.8667386413849,742.8667386413849,False,True
512,33,3,176666.62,1,1,0,94670.77,0,False,True,True,0.3516687426720591,15899.9958,1397.8828828692551,1347.8828828692551,False,True
608,41,3,89763.84,1,0,0,199304.74,1,False,True,False,0.608684659488381,8078.7456,1229.352128657314,1179.352128657314,True,True
618,34,5,134954.53,1,1,1,151954.39,0,False,False,True,0.204877650829578,12145.9077,622.1062591922207,572.1062591922207,False,True
671,45,2,106376.85,1,0,1,158264.62,0,False,False,True,0.4798583436257814,9573.9165,1148.5309284253844,1098.5309284253844,False,True
689,33,2,161814.64,2,1,0,169381.9,0,True,False,True,0.21795532142401,14563.317599999998,793.5381421269853,743.5381421269853,False,True
676,34,1,63095.01,1,1,1,40645.81,0,False,False,False,0.2782792912752621,5678.5509,395.0557799806254,345.0557799806254,False,True
572,26,4,118287.01,2,0,0,60427.3,0,True,False,True,0.3003420273284237,10645.8309,799.3476087753944,749.3476087753944,False,True
668,47,7,106854.21,1,0,1,157959.02,1,True,False,True,0.752841623245844,9616.8789,1809.9966804086766,1759.9966804086766,True,True
695,46,7,49512.55,1,1,0,133007.34,0,False,False,True,0.7196296862458855,4456.1295,801.6907684890086,751.6907684890086,True,True
807,43,1,105799.32,2,1,0,34888.04,1,False,False,True,0.3372788971518834,9521.9388,802.8872543029321,752.8872543029321,False,True
726,31,9,114722.05,2,1,1,98178.57,0,False,False,False,0.1696124937745318,10324.9845,437.8115923070969,387.8115923070969,False,True
671,45,6,99564.22,1,1,1,108872.45,1,True,False,True,0.7545886857394702,8960.7798,1690.4257631206983,1640.4257631206983,True,True
670,37,4,170557.91,2,1,0,198252.88,0,False,False,True,0.2441071905242691,15350.211899999998,936.7742752153006,886.7742752153006,False,True
547,39,6,74596.15,3,1,1,85746.52,1,True,False,False,0.88882503891138,6713.653499999999,1491.8158333437555,1441.8158333437555,True,True
751,50,2,96888.39,1,1,0,77206.25,1,True,False,True,0.9241278139987024,8719.9551,2014.5882611824588,1964.5882611824588,True,True
594,29,3,130830.22,1,1,0,61048.53,0,True,False,False,0.5808944812726626,11774.7198,1709.9674375879877,1659.9674375879877,True,True
767,20,3,119714.25,2,0,1,150135.38,0,True,False,True,0.2097551885500912,10774.2825,564.990414319862,514.990414319862,False,True
585,67,5,113978.97,2,0,1,93146.11,0,False,False,False,0.3431243990267505,10258.1073,879.9517256161056,829.9517256161056,False,True
763,42,6,100160.75,1,1,0,33462.94,1,True,False,True,0.6718570408124304,9014.4675,1514.1083647624569,1464.1083647624569,True,True
539,43,3,116220.5,3,1,0,55803.96,1,True,False,False,0.930458756436222,10459.845,2433.1135928039084,2383.1135928039084,True,True
703,28,2,81173.83,2,0,1,162812.16,0,False,False,True,0.1137013257884981,7305.6447,207.66537203242862,157.66537203242862,False,True
725,39,5,116803.8,1,1,0,124052.97,0,True,False,False,0.6995754546351327,10512.342,1838.5441084825002,1788.5441084825002,True,True
703,37,8,105961.68,2,0,1,74158.8,0,False,False,True,0.1732711944403004,9536.5512,413.10240431627,363.10240431627,False,True
659,67,6,117411.6,1,1,1,45071.09,1,True,False,True,0.5850505528288389,10567.044,1545.5637334916662,1495.5637334916662,True,True
635,40,10,123497.58,1,1,0,131953.23,1,False,False,False,0.6067581533809555,11114.7822,1685.9961807258785,1635.9961807258785,True,True
772,26,7,152400.51,2,1,0,79414.0,0,True,False,True,0.2260358150269107,13716.0459,775.0794034882541,725.0794034882541,False,True
634,24,8,103097.85,1,1,1,157577.29,0,True,False,True,0.2930900996429632,9278.8065,679.8815804131937,629.8815804131937,False,True
739,54,8,126418.14,1,1,0,134420.75,1,True,False,True,0.9211676457571676,11377.6326,2620.1767591080006,2570.1767591080006,True,True
771,36,5,77846.9,1,0,0,99805.99,0,True,False,False,0.363159126054686,7006.221,636.093273826497,586.093273826497,False,True
544,37,2,79731.91,1,1,1,57558.95,0,True,False,True,0.354517224653788,7175.8719,635.9925476147761,585.9925476147761,False,True
671,34,6,37266.67,2,0,0,156917.12,0,True,False,False,0.1552752666115615,3354.0003,130.1983226994393,80.1983226994393,False,True
693,30,6,127992.25,1,1,1,50457.2,0,False,False,False,0.2456407149428376,11519.3025,707.4024254357041,657.4024254357041,False,True
850,38,3,54901.01,1,1,1,140075.55,0,True,False,True,0.2541126502226745,4941.090899999999,313.89842589753493,263.89842589753493,False,True
732,42,9,108748.08,2,1,1,65323.11,0,True,False,True,0.4434031259283562,9787.3272,1084.9328687409063,1034.9328687409063,False,True
726,48,6,99906.19,1,1,0,64323.24,0,False,True,False,0.7465177762847718,8991.5571,1678.089302907388,1628.089302907388,True,True
557,32,6,184686.41,2,1,0,14956.44,0,False,False,False,0.277945837970205,16621.7769,1154.9884272560741,1104.9884272560741,False,True
682,26,0,110654.02,1,0,1,111879.21,0,False,False,False,0.2058446660390508,9958.8618,512.4946453375151,462.49464533751507,False,True
738,31,9,79019.8,1,1,1,18606.23,0,False,True,True,0.1789296235921792,7111.782,318.12711908240885,268.12711908240885,False,True
531,36,9,99240.51,1,1,0,123137.01,0,False,True,False,0.3794092465635847,8931.6459,847.1872603729325,797.1872603729325,False,True
791,35,7,52436.2,1,1,0,161051.75,0,True,False,False,0.3448758755888667,4719.258,406.8895587199409,356.8895587199409,False,True
733,34,3,100337.96,3,1,0,48559.19,1,True,False,True,0.776755453896515,9030.4164,1753.6062974141332,1703.6062974141332,True,True
811,34,1,149297.19,2,1,1,186339.74,0,True,False,False,0.1794460400640411,13436.7471,602.7927646092471,552.7927646092471,False,True
712,28,4,145605.44,1,0,1,93883.53,0,True,False,True,0.3455375509737373,13104.4896,1132.0233107862025,1082.0233107862025,False,True
646,35,6,84026.86,1,0,1,164255.69,0,False,False,True,0.1984471001491844,7562.4174,375.1849507869337,325.1849507869337,False,True
479,35,4,138718.92,1,1,1,47251.79,1,True,False,True,0.4840331405857502,12484.7028,1510.752476390927,1460.752476390927,False,True
807,42,7,118274.71,1,1,1,25885.72,0,False,False,True,0.3509543123115656,10644.7239,933.9529390177468,883.9529390177468,False,True
799,22,8,174185.98,2,0,1,192633.85,0,False,False,False,0.2058298458902462,15676.738200000002,806.685151941934,756.685151941934,False,True
675,40,7,113208.86,2,1,0,34577.36,0,False,False,True,0.2455772894393765,10188.7974,625.5343120347417,575.5343120347417,False,True
602,29,5,103907.28,1,1,0,161229.84,0,False,True,True,0.2974813224031284,9351.6552,695.485688888523,645.485688888523,False,True
475,32,8,119023.28,1,1,0,100816.29,0,False,False,False,0.3361129611200752,10712.0952,900.118509368036,850.118509368036,False,True
744,26,5,166297.89,1,1,1,181694.44,0,False,True,False,0.3462349347223965,14966.8101,1295.5081294940012,1245.5081294940012,False,True
703,42,9,63227.0,1,0,1,137316.32,0,True,False,True,0.3697233027967039,5690.43,525.971143483362,475.97114348336197,False,True
747,41,5,94521.17,2,1,0,194926.86,0,False,True,False,0.3603070386208004,8506.9053,766.2744641176479,716.2744641176479,False,True
750,34,9,112822.26,1,0,0,150401.53,1,False,True,False,0.3480914740502032,10154.0034,883.6305027541937,833.6305027541937,False,True
773,25,2,135903.33,1,1,0,73656.38,0,False,False,True,0.2883152844492576,12231.299699999998,881.6176630474046,831.6176630474046,False,True
714,31,4,125169.26,1,1,1,106636.89,0,False,False,False,0.23186458193673,11265.2334,653.0021581776718,603.0021581776718,False,True
511,58,0,149117.31,1,1,1,162599.51,0,False,False,True,0.4821634428919498,13420.5579,1617.725600648689,1567.725600648689,False,True
616,36,6,132311.71,1,0,0,15462.84,0,False,True,False,0.3777230871523038,11908.0539,1124.486720271008,1074.486720271008,False,True
553,33,4,118082.89,1,0,0,94440.45,0,False,False,True,0.2835650664426604,10627.4601,753.3941073433056,703.3941073433056,False,True
667,31,1,119266.69,1,1,1,28257.63,0,False,False,True,0.1757551626708579,10734.0021,471.63907129870756,421.63907129870756,False,True
629,35,7,156847.29,2,1,0,31824.29,0,True,False,True,0.2426293216472096,14116.2561,856.2544104353211,806.2544104353211,False,True
614,50,4,137104.47,1,1,0,127166.49,1,False,False,True,0.7831585868614781,12339.402300000002,2415.9272169958185,2365.9272169958185,True,True
438,31,8,78398.69,1,1,0,44937.01,0,True,False,True,0.3415443084899191,7055.882100000001,602.4740931577246,552.4740931577246,False,True
729,30,6,63669.42,1,1,0,145111.37,0,True,False,True,0.2757076849887642,5730.2478,394.96833883748974,344.96833883748974,False,True
806,59,0,135296.33,1,1,0,182822.5,0,True,False,False,0.7970000215728246,12176.6697,2426.20150339629,2376.20150339629,True,True
744,36,2,153804.44,1,1,1,87213.33,0,False,True,True,0.1734350784993045,13842.3996,600.1894153111854,550.1894153111854,False,True
559,49,2,147069.78,1,1,0,120540.83,1,False,False,True,0.7727905766261862,13236.2802,2557.2181520359427,2507.2181520359427,True,True
429,24,4,95741.75,1,1,0,46170.75,0,False,False,True,0.3048663515206236,8616.7575,656.7398552407424,606.7398552407424,False,True
525,57,2,145965.33,1,1,1,64448.36,0,False,True,False,0.5308883721074795,13136.8797,1743.5541696261985,1693.5541696261985,True,True
680,30,8,141441.75,1,1,1,16278.97,0,False,False,False,0.2461587269784564,12729.7575,783.3852252361144,733.3852252361144,False,True
749,40,1,139290.41,1,1,0,182855.42,1,False,False,True,0.4815170284279443,12536.1369,1509.0908470134752,1459.0908470134752,False,True
716,35,4,144428.87,1,1,0,134132.65,0,False,False,True,0.3317459320415311,12998.598299999998,1078.0580270667401,1028.0580270667401,False,True
644,46,9,95441.27,1,1,0,108761.05,1,False,False,False,0.7742218044770369,8589.7143,1662.586026322052,1612.586026322052,True,True
671,35,1,144848.74,1,1,1,179012.3,0,True,False,True,0.405925423433422,13036.3866,1322.950187661697,1272.950187661697,False,True
664,26,7,116244.14,2,1,1,95145.14,0,True,False,True,0.1778127588243188,10461.9726,465.0680526876078,415.0680526876078,False,True
667,40,1,146502.07,1,1,0,19162.89,0,False,True,False,0.5210995317215699,13185.1863,1717.6986016479145,1667.6986016479145,True,True
663,44,2,117028.6,2,0,1,144680.18,0,True,False,True,0.5534472676229296,10532.574,1457.3060753340776,1407.3060753340776,True,True
584,30,8,112013.81,1,1,0,177772.03,1,True,False,False,0.5967146280169993,10081.2429,1503.9062767556286,1453.9062767556286,True,True
626,37,6,108269.37,1,1,0,5597.94,0,False,True,False,0.3791090911189907,9744.2433,923.5328052763288,873.5328052763288,False,True
485,29,7,182123.79,1,1,0,116828.51,1,False,False,True,0.4045606895495304,16391.1411,1657.802836479912,1607.802836479912,False,True
659,32,3,150923.74,2,0,1,174652.51,0,True,False,False,0.1865174168472023,13583.1366,633.3728878286726,583.3728878286726,False,True
